nom_complet_taxon_referentiel;nom_valide
Abies alba Mill. subsp. alba;Abies alba Mill., 1768
Abies concolor var. lowiana (Gordon) Lemmon;Abies lowiana (Gordon) A.Murray, 1863
Abies nordmanniana (Steven) Spach subsp. nordmanniana;Abies nordmanniana (Steven) Spach, 1841
Abies nordmanniana subsp. bornmuelleriana (Mattf.) Coode & Cullen, 1965;Abies bornmuelleriana Mattf., 1925
Acer campestre L. subsp. campestre;Acer campestre L., 1753
Acer monspessulanum L. subsp. monspessulanum;Acer monspessulanum L., 1753
Acer obtusatum Waldst. & Kit. ex Willd., 1806;Acer opalus subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams, 1924
Achillea moschata Wulfen, 1878;Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909
Aconitum burnatii Gáyer, 1909;Aconitum napellus subsp. burnatii (Gáyer) J.M.Tison, 2010
Actinidia Lindley, 1836;Actinidia Lindl., 1836
Adenocarpus complicatus subsp. lainzii Castrov., 1982;Adenocarpus complicatus subsp. parvifolius García Adá, G.López & P.Vargas, 1996
Adenostyles alliariae (Gouan) A.Kern. subsp. alliariae;Adenostyles alliariae (Gouan) A.Kern., 1871
Adenostyles briquetii Gamisans, 1973;Adenostyles alpina subsp. briquetii (Gamisans) Tutin, 1975
Adiantum raddianum C.B. Presl;Adiantum raddianum C.Presl, 1836
Aegilops ovata L., 1753;Aegilops geniculata Roth, 1797
Aegilops ovata L. subsp. ovata;Aegilops geniculata Roth, 1797
Aethionema R. Br., 1812;Aethionema R.Br., 1812
Agrostemma githago L. subsp. githago;Agrostemma githago L., 1753
Agrostis capillaris L. subsp. capillaris;Agrostis capillaris var. capillaris 
Agrostis capillaris subsp. castellana (Boiss. & Reut.) O.Bolòs, Massales & Vigo, 1988;Agrostis castellana Boiss. & Reut., 1842
Agrostis capillaris var. mutica (Boiss. & Reut.) B.Bock;Agrostis castellana var. mutica (Boiss. & Reuter) Kerguélen ex Romero García, Blanca & C.Morales, 1988
Agrostis pourretii Willd., 1780;Neoschischkinia pourretii (Willd.) Valdés & H.Scholz
Agrostis stolonifera L. subsp. stolonifera;Agrostis stolonifera L., 1753
Agrostis stolonifera L. subsp. stolonifera var. pseudopungens (Lange) Kerguélen;Agrostis stolonifera var. pseudopungens (Lange) Kerguélen, 1975
Agrostis tenerrima Trin., 1824;Neoschischkinia elegans (Thore ex Loisel.) Tzvelev, 1968
Aira caryophyllea L. subsp. caryophyllea;Aira caryophyllea L., 1753
Aira caryophyllea subsp. armoricana (F.Albers) Kerguélen, 1983;Aira armoricana F.Albers, 1979
Aira caryophyllea subsp. multiculmis (Dumort.) Bonnier & Layens, 1894;Aira multiculmis Dumort., 1824
Ajuga iva (L.) Schreb. subsp. iva;Ajuga iva var. iva 
Ajuga iva subsp. pseudoiva (DC.) Briq., 1891;Ajuga iva var. pseudoiva (DC.) Steud., 1840
Ajuga pyramidalis subsp. meonantha (Hoffmanns. & Link) R.Fern., 1960;Ajuga pyramidalis var. meonantha Hoffmanns. & Link, 1809
Alchemilla filicaulis Buser subsp. filicaulis;Alchemilla filicaulis f. filicaulis 
Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw, 1963;Alchemilla filicaulis f. vestita Buser, 1893
Alchemilla jugensis (Buser) Maill., 1944;Alchemilla glacialis x Alchemilla pentaphyllea 
