bd_mere;count;count_distinct;
CBN-ALP_2;4638879;1;KERGUELEN MODIFIE CBNA 
CBN-BAL_2;1241534;1;DIGITALE-BS
CBN-BPA_1;4451960;1;TAXREF 5
CBN-BPA_1_bryo;1833;1;TAXREF 5
CBN-BRE_1;2453635;1;RNFO
CBN-BRE_2;2546;1;Base de Données Nomenclaturale des Bryophytes
CBN-COR_1;71126;1;Kerguelen modifié
CBN-MCE_1;4401341;1;Index de la flore vasculaire et bryophytique du Massif central
CBN-MED_1;2142641;1;TAXREF V5
CBN-PMP_1;752900;1;kerguélen modifié CBNPMP
CBN-SAT_1;182430;2;Taxref_v5 | TAXREF_V5
