bd_mere;count;count_distinct;;Exemple
CBN-BPA_1;143589;131;;Bull. Soc. Bot. Fr. 9 : 436
CBN-BPA_1_bryo;1203;66;;Association universitaire limousine pour  l'étude 
CBN-MCE_1;587840;1307;;Bull. Soc. Bot. Fr. 104 : 515-525
CBN-PMP_1;78038;739;;Revue Scientifique du Bourbonnais : 115
;;;;Annales de la Société botanique de Lyon XL : 20-21
;;;;-9
;;;;Revue des Sciences Naturelles d'Auvergne 20 : 89-9
;;;;Monde des plantes 369 : 2-4
;;;;Le Monde des Plantes 324 : 7-8
;;;;Bull. Soc. Myco. Landaise 20 : 25-27
;;;;Paul Lechevalier Ed. I : 458 p.
;;;;Théolier Ed. : 290 p.
;;;;82
;;;;Monde des plantes 104 : 40
;;;;Monde des plantes 411-412 : 4-6
;;;;Revue Scientifique du Bourbonnais : 148
;;;;Revue Scientifique du Bourbonnais : 25-27
;;;;Revue des Sciences Naturelles d'Auvergne 63 : 97-9
;;;;Bull. Soc. Sc. Phy. Nat. Toulouse 3 : 103 - 135
;;;;Bull. Soc. Bot. Fr. 42 : 547
;;;;Université de Rennes I : 50 p.
;;;;Conservatoire des sites de l'Allier, 5 p.
;;;;Université de Limoges : 60 p.
;;;;Le Monde des Plantes 254 : 2-3
;;;;Espaces naturels du Limousin \ Parc naturel région
;;;;Bull. Soc. Bot. Centre-Ouest 15 : 73
;;;;Le Monde des Plantes 454 : 27-29
;;;;Monde des plantes 263 : 59-60, 65-66
;;;;Colloques Phytosociologiques VIII : 305-324
;;;;Monde des plantes 137 (22) : 6-8
;;;;Le Monde des Plantes 456 : 6-8
;;;;Monde des plantes 356 : 10
;;;;Bull. Soc. Ramond 125e année : 47-52
;;;;L'Ancolie 10 : 22-23
;;;;Isatis 8 : 92-103
;;;;L'Orchidophile 117 : 124-131
;;;;L'Ancolie 10 : 10-13
;;;;Actes de la Société linnéenne de Bordeaux XV : 281
;;;;Revue Scientifique du Bourbonnais : 206
;;;;Bureau d'études CESAME \ Conseil général de la Loi
;;;;Bull. Soc. Bot. Centre-Ouest 27 : 226-227
;;;;Bull. Soc. Acad. Hautes-Pyrénées 4 : 27-83
;;;;Annales de la Société botanique de Lyon XXI : 57-6
;;;;Le Monde des Plantes 480 : 11-12
;;;;Revue Scientifique du Bourbonnais : 28-37
;;;;Isatis 1 : 38-43
;;;;Bull. Soc. Bot. Centre-Ouest 24 : 346
;;;;Revue des Sciences Naturelles d'Auvergne 19 (1-2) 
;;;;Revue Scientifique du Bourbonnais : 101
;;;;Université de Limoges : 152 p.
