bd_mere;count maillefr10;count_distinct_maillefr10;;;
CBN-MCE_1;9897;2953;;;Exemples SAT = lieu
CBN-SAT_1;97483;2902;;;Prairie jouxtant le Lacanau et la parcelle de maïs cultivé
;;;;; Premier creux en fin de pointe
;;;;;" entre les lieux-dits ""Boutet"" et ""Escandaillac"""
;;;;; Carcans-Maubuisson, Bombannes
;;;;;" Boisement à l'est du lieu-dit ""Au Barlier"""
;;;;; Ile Bouchaud/Tonne de chasse Nord
;;;;; A Castandet, prendre le chemin partant derrière l'entrepôt de stockage DDE. La prairie se trouve derrière le boisement.
;;;;;
;;;;;Exemples MCE = divers
;;;;;FL 34 (2).
;;;;;" [(D2 E0,090;49,600)(D1 E0,095;49,600)(C1 E0,080;49"
;;;;; Station 65-25
;;;;; Relocalisé (Ph. A.).
;;;;; *ST-SORNIN-LEULAC
;;;;;L'altitude du doc  n'est pas conforme à celle de l
;;;;;"[(M3 E0,;50;264)]"
;;;;;"Exposition : S/SO [(M4 E2,110;49,271)(M E2,111;49,"
;;;;;" N° du carré = 489 ; (Min X = 554 ; Max X = 555 ; M"
;;;;; Cf. carte jointe. Station la plus importante.
