bd_mere;count;count_distinct
CBN-ALP_2;400022;851
CBN-BPA_1;25833;26
CBN-BPA_1_bryo;229;1
CBN-FRC_1;147482;326
CBN-MCE_1;587867;2283
CBN-MED_1;481542;2502
CBN-PMP_1;147165;855
CBN-SAT_1;20963;119
;;
Exemple :;;
Moncorgé S., 2006. Notes floristiques, Bull. SHNPM;;
Bois de Vaires. Documents d'objectif du site Natura 2000 FR 1100819.;;
Histoire des plantes de Dauphiné. tome 3. 1ere partie;;
Un Gymnopilus remarquable des vieilles sapinières pyrénéennes;;
Bihoreau (le) = le seul;;
Pyrénées méditerranéennes. Annuaire Conser. et Jar. Bot. Genève, 21;;
Le 29 juin 2008 : la 190ème Fête Linnéenne à Cazaux;;
Mise en oeuvre du document d'objectifs en 2001-2002 - Action E9 : réalisation de plan de gestion du Puy d'Isson;;
