bd_mere     ;"type_LOCALISATION
Maille_fr5";count;"type_LOCALISATION
Maille_fr10";count;"type_LOCALISATION
Commune";count
CBN-ALP_2;A;4224826;A;4343824;A;4386043
CBN-ALP_2;I;414073;I;295087;I;252836
CBN-BAL_2      ;A;1026309;A;1100608;A;1059286
CBN-BAL_2      ;I;214819;I;140096;I;183831
CBN-BPA_1      ;A;148926;A;1061897;A;4451960
CBN-BPA_1      ;I;4303034;I;3390063;I;0
CBN-BPA_1_bryo ;A;49;A;374;A;1832
CBN-BPA_1_bryo ;I;1783;I;1458;I;0
CBN-BRE_1      ;A;1942021;A;2178803;A;1738334
CBN-BRE_1      ;I;511614;I;274832;I;715301
CBN-BRE_2      ;A;824;A;818;A;3047
CBN-BRE_2      ;I;10052;I;5334;I;0
CBN-COR_1      ;A;58529;A;58529;A;57311
CBN-COR_1      ;I;12597;I;12597;I;12042
CBN-FRC_1      ;A;378054;A;466884;A;757522
CBN-FRC_1      ;I;379468;I;290638;I;0
CBN-MCE_1      ;A;3619399;A;3918443;A;3570209
CBN-MCE_1      ;I;788166;I;486673;I;844526
CBN-MED_1     ;A;1288183;A;1301744;A;2142171
CBN-MED_1     ;I;845424;I;840414;I;0
CBN-PMP_1     ;A;544609;A;577361;A;648217
CBN-PMP_1     ;I;205616;I;175594;I;105063
CBN-SAT_1      ;A;181620;A;182430;A;182430
CBN-SAT_1      ;I;0;I;0;I;0
somme;A;13413349;A;15191715;A;18998362
somme;I;7686646;I;5912786;I;2113599
Pourcent;A;64%;A;72%;A;90%
Pourcent;I;36%;I;28%;I;10%
